episode,selectivity,bucket_id,q_pre_before,q_post_before,chosen_strategy,was_guardrail,latency_ms,recall,reward,q_pre_after,q_post_after,gt_latency_ms,filter_name
1,0.859249,20,1.0,1.0,post_filter,False,0.8123,1.0,0.972925,1.0,0.997292,25.0325,overall>=3.0
2,0.728433,19,1.0,1.0,post_filter,False,1.0446,1.0,0.965181,1.0,0.996518,25.0749,"overall IN (2,3,5)"
3,0.140751,1,1.0,1.0,pre_filter,False,20.4581,0.4,5.6e-05,0.900006,1.0,26.919,overall<=2.0
4,0.906777,21,1.0,1.0,post_filter,True,0.861,1.0,0.971299,1.0,0.99713,25.1087,overall>=2.0
5,0.230635,3,1.0,1.0,pre_filter,False,39.2927,1.0,0.0,0.9,1.0,25.1453,"main_cat IN ('Camera & Photo', 'Camera &amp; Photo', 'Cell Phones &amp; Accessories')"
6,0.073033,0,1.0,1.0,pre_filter,False,11.3845,0.5,0.001012,0.900101,1.0,26.3456,brand='Tiffen'
7,0.751008,19,1.0,0.996518,pre_filter,False,98.2785,1.0,0.0,0.9,0.996518,25.0169,"overall IN (1,2,5)"
8,0.610257,18,1.0,1.0,pre_filter,False,59.8667,1.0,0.0,0.9,1.0,25.4375,overall>=5.0
9,0.906777,21,1.0,0.99713,post_filter,True,0.9425,1.0,0.968583,1.0,0.994275,25.6578,overall>=2.0
10,0.300422,7,1.0,1.0,pre_filter,False,53.1043,1.0,0.0,0.9,1.0,25.4363,"main_cat IN ('All Electronics', 'Books', 'Sports & Outdoors')"
11,0.680906,18,0.9,1.0,post_filter,False,0.8738,1.0,0.970872,0.9,0.997087,24.841,"overall IN (3,5)"
12,0.952472,21,1.0,0.994275,post_filter,True,0.8954,1.0,0.970154,1.0,0.991863,24.9399,"overall IN (1,3,4,5)"
13,0.12068,1,0.900006,1.0,post_filter,False,0.8723,0.9,0.565423,0.900006,0.956542,25.1488,"main_cat IN ('Camera &amp; Photo', 'Cell Phones &amp; Accessories', 'Tools & Home Improvement')"
14,0.7886,19,0.9,0.996518,pre_filter,False,55.9073,1.0,0.0,0.81,0.996518,24.9635,overall>=4.0
15,0.906777,21,1.0,0.991863,post_filter,True,0.5593,1.0,0.981356,1.0,0.990812,25.3102,overall>=2.0
16,0.658182,18,0.9,0.997087,post_filter,False,0.5225,1.0,0.982583,0.9,0.995637,25.156,verified=true AND overall>=3.0
17,0.906777,21,1.0,0.990812,post_filter,True,0.9356,1.0,0.968814,1.0,0.988613,25.1852,overall>=2.0
18,0.12068,1,0.900006,0.956542,pre_filter,False,13.6138,1.0,0.546207,0.864626,0.956542,25.0527,"main_cat IN ('Camera &amp; Photo', 'Cell Phones &amp; Accessories', 'Tools & Home Improvement')"
19,0.248992,4,1.0,1.0,pre_filter,False,34.243,1.0,0.0,0.9,1.0,25.461,"overall IN (3,4)"
20,0.092237,0,0.900101,1.0,post_filter,False,0.9977,1.0,0.966744,0.900101,0.996674,25.791,main_cat='Home Audio &amp; Theater' AND overall>=3.0
21,0.836128,20,1.0,0.997292,pre_filter,False,41.4837,1.0,0.0,0.9,0.997292,24.9726,"overall IN (2,4,5)"
22,0.160682,1,0.864626,0.956542,post_filter,False,0.7328,0.9,0.568132,0.864626,0.917701,25.055,"main_cat IN ('Camera & Photo', 'Computers')"
23,0.230635,3,0.9,1.0,post_filter,False,0.7495,1.0,0.975017,0.9,0.997502,24.9744,"main_cat IN ('Camera & Photo', 'Camera &amp; Photo', 'Cell Phones &amp; Accessories')"
24,0.389743,11,1.0,1.0,pre_filter,False,40.1154,1.0,0.0,0.9,1.0,25.2722,overall<=4.0
25,0.929351,21,1.0,0.988613,post_filter,True,0.9514,1.0,0.968286,1.0,0.98658,25.1901,"overall IN (1,2,4,5)"
26,0.658182,18,0.9,0.995637,post_filter,False,0.309,0.6,0.009995,0.9,0.897073,25.1867,verified=true AND overall>=3.0
27,0.140751,1,0.864626,0.917701,pre_filter,False,24.167,0.8,0.034868,0.78165,0.917701,25.4773,overall<=2.0
28,0.881823,20,0.9,0.997292,pre_filter,False,95.2223,1.0,0.0,0.81,0.997292,24.9098,"overall IN (1,4,5)"
29,0.339351,8,1.0,1.0,post_filter,False,0.8948,1.0,0.970172,1.0,0.997017,25.184,"main_cat IN ('Home Audio & Theater', 'Camera &amp; Photo', 'Sports & Outdoors')"
30,0.092237,0,0.900101,0.996674,post_filter,False,0.6202,1.0,0.979328,0.900101,0.99494,25.2163,main_cat='Home Audio &amp; Theater' AND overall>=3.0
31,0.952472,21,1.0,0.98658,post_filter,True,0.4337,0.0,0.0,1.0,0.887922,24.8586,"overall IN (1,3,4,5)"
32,0.210713,2,1.0,1.0,post_filter,False,0.9158,0.7,0.045738,1.0,0.904574,24.9989,"main_cat IN ('Camera & Photo', 'Camera &amp; Photo')"
33,0.881823,20,0.81,0.997292,post_filter,False,0.7304,1.0,0.975654,0.81,0.995129,25.3605,"overall IN (1,4,5)"
34,0.389743,11,0.9,1.0,pre_filter,False,19.9629,1.0,0.334571,0.843457,1.0,24.9673,overall<=4.0
