bucket_id,range_lower,range_upper,q_pre,q_post,delta,visits_pre,visits_post,total_visits,preferred
0,0.0,0.1,0.831136,0.66217,0.168967,31,11,42,pre_filter
1,0.1,0.2,0.552479,0.588925,0.036446,30,21,51,post_filter
2,0.2,0.22,0.571619,0.703421,0.131802,13,9,22,post_filter
3,0.22,0.24,0.730537,0.851365,0.120827,7,13,20,post_filter
4,0.24,0.26,0.773722,0.942579,0.168857,3,11,14,post_filter
5,0.26,0.28,0.679514,0.91519,0.235676,5,16,21,post_filter
6,0.28,0.3,1.0,1.0,0.0,0,0,0,pre_filter
7,0.3,0.32,0.497025,0.741729,0.244704,8,22,30,post_filter
8,0.32,0.34,0.543459,0.817044,0.273584,6,18,24,post_filter
9,0.34,0.36,1.0,1.0,0.0,0,0,0,pre_filter
10,0.36,0.38,1.0,1.0,0.0,0,0,0,pre_filter
11,0.38,0.4,0.656437,0.872395,0.215957,4,16,20,post_filter
12,0.4,0.42,1.0,1.0,0.0,0,0,0,pre_filter
13,0.42,0.44,1.0,1.0,0.0,0,0,0,pre_filter
14,0.44,0.46,1.0,1.0,0.0,0,0,0,pre_filter
15,0.46,0.48,1.0,1.0,0.0,0,0,0,pre_filter
16,0.48,0.5,1.0,1.0,0.0,0,0,0,pre_filter
17,0.5,0.6,1.0,1.0,0.0,0,0,0,pre_filter
18,0.6,0.7,0.531441,0.75719,0.225749,6,40,46,post_filter
19,0.7,0.8,0.59049,0.78311,0.19262,5,85,90,post_filter
20,0.8,0.9,0.38742,0.90169,0.514269,9,66,75,post_filter
21,0.9,1.0,1.0,0.896419,0.103581,0,45,45,pre_filter
