bucket_id,range_lower,range_upper,q_pre,q_post,delta,visits_pre,visits_post,total_visits,preferred
0,0.0,0.1,0.830083,0.641352,0.188731,169,18,187,pre_filter
1,0.1,0.2,0.675398,0.542733,0.132665,118,135,253,pre_filter
2,0.2,0.22,0.59721,0.586902,0.010309,33,36,69,pre_filter
3,0.22,0.24,0.591692,0.779042,0.18735,22,32,54,post_filter
4,0.24,0.26,0.677455,0.950816,0.273362,6,70,76,post_filter
5,0.26,0.28,0.543931,0.822096,0.278165,19,54,73,post_filter
6,0.28,0.3,1.0,1.0,0.0,0,0,0,pre_filter
7,0.3,0.32,0.534449,0.943207,0.408759,11,140,151,post_filter
8,0.32,0.34,0.606905,0.916296,0.309391,7,56,63,post_filter
9,0.34,0.36,1.0,1.0,0.0,0,0,0,pre_filter
10,0.36,0.38,1.0,1.0,0.0,0,0,0,pre_filter
11,0.38,0.4,0.59049,0.872047,0.281557,5,67,72,post_filter
12,0.4,0.42,1.0,1.0,0.0,0,0,0,pre_filter
13,0.42,0.44,1.0,1.0,0.0,0,0,0,pre_filter
14,0.44,0.46,1.0,1.0,0.0,0,0,0,pre_filter
15,0.46,0.48,1.0,1.0,0.0,0,0,0,pre_filter
16,0.48,0.5,1.0,1.0,0.0,0,0,0,pre_filter
17,0.5,0.6,1.0,1.0,0.0,0,0,0,pre_filter
18,0.6,0.7,0.430467,0.922095,0.491628,8,214,222,post_filter
19,0.7,0.8,0.59049,0.923974,0.333484,5,338,343,post_filter
20,0.8,0.9,0.531441,0.844117,0.312676,6,249,255,post_filter
21,0.9,1.0,1.0,0.887541,0.112459,0,182,182,pre_filter
