bucket_id,range_lower,range_upper,q_pre,q_post,delta,visits_pre,visits_post,total_visits,preferred
0,0.0,0.1,0.432928,0.533273,0.100345,45,142,187,post_filter
1,0.1,0.2,0.413569,0.70119,0.287621,12,241,253,post_filter
2,0.2,0.22,0.515536,0.674648,0.159113,7,62,69,post_filter
3,0.22,0.24,0.473354,0.811186,0.337832,9,45,54,post_filter
4,0.24,0.26,0.697144,0.950943,0.253798,4,72,76,post_filter
5,0.26,0.28,0.484777,0.837609,0.352833,9,64,73,post_filter
6,0.28,0.3,1.0,1.0,0.0,0,0,0,pre_filter
7,0.3,0.32,0.478297,0.944974,0.466677,7,144,151,post_filter
8,0.32,0.34,0.615435,0.919533,0.304098,5,58,63,post_filter
9,0.34,0.36,1.0,1.0,0.0,0,0,0,pre_filter
10,0.36,0.38,1.0,1.0,0.0,0,0,0,pre_filter
11,0.38,0.4,0.6561,0.871048,0.214948,4,68,72,post_filter
12,0.4,0.42,1.0,1.0,0.0,0,0,0,pre_filter
13,0.42,0.44,1.0,1.0,0.0,0,0,0,pre_filter
14,0.44,0.46,1.0,1.0,0.0,0,0,0,pre_filter
15,0.46,0.48,1.0,1.0,0.0,0,0,0,pre_filter
16,0.48,0.5,1.0,1.0,0.0,0,0,0,pre_filter
17,0.5,0.6,1.0,1.0,0.0,0,0,0,pre_filter
18,0.6,0.7,0.497275,0.923184,0.42591,7,215,222,post_filter
19,0.7,0.8,0.483231,0.924318,0.441087,7,336,343,post_filter
20,0.8,0.9,0.441007,0.849017,0.40801,8,247,255,post_filter
21,0.9,1.0,1.0,0.887683,0.112317,0,182,182,pre_filter
