bucket_id,range_lower,range_upper,q_pre,q_post,delta,visits_pre,visits_post,total_visits,preferred
0,0.0,0.1,0.744989,0.545515,0.199474,163,24,187,pre_filter
1,0.1,0.2,0.636204,0.557727,0.078477,110,143,253,pre_filter
2,0.2,0.22,0.526952,0.677164,0.150212,18,51,69,post_filter
3,0.22,0.24,0.464032,0.80323,0.339198,12,42,54,post_filter
4,0.24,0.26,0.486311,0.944874,0.458563,9,67,76,post_filter
5,0.26,0.28,0.499353,0.814023,0.314669,15,58,73,post_filter
6,0.28,0.3,1.0,1.0,0.0,0,0,0,pre_filter
7,0.3,0.32,0.517939,0.9253,0.407361,9,142,151,post_filter
8,0.32,0.34,0.499969,0.866531,0.366562,9,54,63,post_filter
9,0.34,0.36,1.0,1.0,0.0,0,0,0,pre_filter
10,0.36,0.38,1.0,1.0,0.0,0,0,0,pre_filter
11,0.38,0.4,0.500518,0.78553,0.285012,7,65,72,post_filter
12,0.4,0.42,1.0,1.0,0.0,0,0,0,pre_filter
13,0.42,0.44,1.0,1.0,0.0,0,0,0,pre_filter
14,0.44,0.46,1.0,1.0,0.0,0,0,0,pre_filter
15,0.46,0.48,1.0,1.0,0.0,0,0,0,pre_filter
16,0.48,0.5,1.0,1.0,0.0,0,0,0,pre_filter
17,0.5,0.6,1.0,1.0,0.0,0,0,0,pre_filter
18,0.6,0.7,0.348678,0.923427,0.574748,10,212,222,post_filter
19,0.7,0.8,0.254187,0.883418,0.629231,13,330,343,post_filter
20,0.8,0.9,0.28243,0.811976,0.529546,12,243,255,post_filter
21,0.9,1.0,1.0,0.872621,0.127379,0,182,182,pre_filter
