bucket_id,range_lower,range_upper,q_pre,q_post,delta,visits_pre,visits_post,total_visits,preferred
0,0.0,0.1,0.852047,0.679498,0.172548,34,8,42,pre_filter
1,0.1,0.2,0.673366,0.739298,0.065932,21,30,51,post_filter
2,0.2,0.22,0.679491,0.697747,0.018256,12,10,22,post_filter
3,0.22,0.24,0.72906,0.779199,0.050139,10,10,20,post_filter
4,0.24,0.26,0.768983,0.980675,0.211692,4,10,14,post_filter
5,0.26,0.28,0.754594,0.931008,0.176414,6,15,21,post_filter
6,0.28,0.3,1.0,1.0,0.0,0,0,0,pre_filter
7,0.3,0.32,0.623518,0.806487,0.182968,7,23,30,post_filter
8,0.32,0.34,0.770994,0.803332,0.032338,3,21,24,post_filter
9,0.34,0.36,1.0,1.0,0.0,0,0,0,pre_filter
10,0.36,0.38,1.0,1.0,0.0,0,0,0,pre_filter
11,0.38,0.4,0.678966,0.845005,0.166039,4,16,20,post_filter
12,0.4,0.42,1.0,1.0,0.0,0,0,0,pre_filter
13,0.42,0.44,1.0,1.0,0.0,0,0,0,pre_filter
14,0.44,0.46,1.0,1.0,0.0,0,0,0,pre_filter
15,0.46,0.48,1.0,1.0,0.0,0,0,0,pre_filter
16,0.48,0.5,1.0,1.0,0.0,0,0,0,pre_filter
17,0.5,0.6,1.0,1.0,0.0,0,0,0,pre_filter
18,0.6,0.7,0.478297,0.755162,0.276865,7,39,46,post_filter
19,0.7,0.8,0.478297,0.896059,0.417763,7,83,90,post_filter
20,0.8,0.9,0.531441,0.921727,0.390286,6,69,75,post_filter
21,0.9,1.0,1.0,0.909759,0.090241,0,45,45,pre_filter
