bucket_id,range_lower,range_upper,q_pre,q_post,delta,visits_pre,visits_post,total_visits,preferred
0,0.0,0.1,0.819365,0.418287,0.401077,157,30,187,pre_filter
1,0.1,0.2,0.676603,0.459406,0.217197,131,122,253,pre_filter
2,0.2,0.22,0.586024,0.681631,0.095608,25,44,69,post_filter
3,0.22,0.24,0.566148,0.777285,0.211137,23,31,54,post_filter
4,0.24,0.26,0.531397,0.946364,0.414967,11,65,76,post_filter
5,0.26,0.28,0.560007,0.838748,0.278741,14,59,73,post_filter
6,0.28,0.3,1.0,1.0,0.0,0,0,0,pre_filter
7,0.3,0.32,0.456372,0.941083,0.484712,15,136,151,post_filter
8,0.32,0.34,0.530271,0.907731,0.37746,9,54,63,post_filter
9,0.34,0.36,1.0,1.0,0.0,0,0,0,pre_filter
10,0.36,0.38,1.0,1.0,0.0,0,0,0,pre_filter
11,0.38,0.4,0.508356,0.867068,0.358712,7,65,72,post_filter
12,0.4,0.42,1.0,1.0,0.0,0,0,0,pre_filter
13,0.42,0.44,1.0,1.0,0.0,0,0,0,pre_filter
14,0.44,0.46,1.0,1.0,0.0,0,0,0,pre_filter
15,0.46,0.48,1.0,1.0,0.0,0,0,0,pre_filter
16,0.48,0.5,1.0,1.0,0.0,0,0,0,pre_filter
17,0.5,0.6,1.0,1.0,0.0,0,0,0,pre_filter
18,0.6,0.7,0.38742,0.92231,0.53489,9,213,222,post_filter
19,0.7,0.8,0.348678,0.924078,0.575399,10,333,343,post_filter
20,0.8,0.9,0.313811,0.846858,0.533047,11,244,255,post_filter
21,0.9,1.0,1.0,0.884203,0.115797,0,182,182,pre_filter
